CompTotal,YearsOfExperience,MainBranch,Country,EducationLevel,RemoteWork,Salary
87500.0,11.0,Profession,Other,Less than Bachelor's degree,Remote,93980.0
100000.0,9.0,Profession,Other,Master's degree,Remote,100000.0
115000.0,6.0,Profession,Switzerland,Less than Bachelor's degree,Hybrid,128129.0
41000.0,12.0,Profession,France,Upper than Master's degree,Hybrid,44037.0
101000.0,1.0,Profession,United States of America,Master's degree,Hybrid,101000.0
150000.0,30.0,Profession,Ireland,Less than Bachelor's degree,Hybrid,161109.0
83000.0,14.0,Profession,Germany,Upper than Master's degree,Hybrid,89147.0
84000.0,10.0,Profession,Other,Master's degree,Hybrid,90221.0
81000.0,10.0,Profession,Italy,Bachelor's degree,Remote,86999.0
190000.0,17.0,Profession,United States of America,Bachelor's degree,Remote,190000.0
25000.0,0.5,Profession,United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,In-person,31847.0
35000.0,30.0,Profession,Italy,Less than Bachelor's degree,In-person,37592.0
50000.0,30.0,Profession,Netherlands,Master's degree,Hybrid,53703.0
140000.0,11.0,Profession,Netherlands,Master's degree,Hybrid,150369.0
10200.0,1.0,Profession,Germany,Less than Bachelor's degree,In-person,10955.0
50000.0,6.0,Profession,Other,Less than Bachelor's degree,Hybrid,53703.0
150000.0,17.0,Profession,Romania,Less than Bachelor's degree,Remote,161109.0
30000.0,24.0,Profession,Spain,Bachelor's degree,Remote,32222.0
118000.0,5.0,Profession,United States of America,Bachelor's degree,Hybrid,118000.0
150000.0,20.0,Profession,United States of America,Bachelor's degree,In-person,150000.0
87250.0,2.0,Profession,United States of America,Master's degree,Hybrid,87250.0
52000.0,5.0,Profession,Germany,Bachelor's degree,Hybrid,55851.0
40000.0,22.0,Profession,Spain,Master's degree,Remote,42962.0
53000.0,6.0,Profession,Netherlands,Bachelor's degree,Hybrid,56925.0
85000.0,8.0,Profession,Germany,Master's degree,Hybrid,91295.0
124000.0,10.0,Profession,United States of America,Bachelor's degree,Hybrid,124000.0
54000.0,4.0,Profession,Brazil,Less than Bachelor's degree,In-person,10070.0
85000.0,11.0,Profession,Italy,Bachelor's degree,Remote,91295.0
41000.0,1.0,Profession,France,Master's degree,Hybrid,44037.0
80000.0,7.0,Profession,Pakistan,Bachelor's degree,Hybrid,85925.0
130000.0,17.0,Profession,Germany,Master's degree,Remote,139628.0
250000.0,5.0,Profession,Canada,Less than Bachelor's degree,Remote,181732.0
12000.0,20.0,Profession,Other,Bachelor's degree,Remote,12000.0
65000.0,6.0,Profession,France,Bachelor's degree,Remote,69814.0
39000.0,18.0,Developer,United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,Hybrid,49681.0
30000.0,13.0,Profession,Other,Master's degree,In-person,32222.0
163000.0,13.0,Profession,United States of America,Bachelor's degree,Remote,163000.0
300000.0,12.0,Profession,Poland,Upper than Master's degree,Hybrid,74239.0
62000.0,5.0,Profession,France,Upper than Master's degree,In-person,66592.0
45000.0,20.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,57325.0
44000.0,23.0,Profession,United Kingdom of Great Britain and Northern Ireland,Master's degree,Hybrid,56051.0
26000.0,10.0,Profession,Italy,Bachelor's degree,In-person,27926.0
105000.0,7.0,Profession,United States of America,Bachelor's degree,Remote,105000.0
48000.0,6.0,Profession,Ukraine,Master's degree,Remote,48000.0
70000.0,12.0,Profession,United States of America,Bachelor's degree,Hybrid,70000.0
100000.0,13.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,127388.0
50000.0,31.0,Developer,Spain,Upper than Master's degree,Hybrid,53703.0
85000.0,12.0,Profession,Netherlands,Master's degree,Hybrid,91295.0
168000.0,15.0,Profession,Canada,Master's degree,Remote,122124.0
75000.0,14.0,Profession,Spain,Bachelor's degree,Remote,80555.0
127680.0,9.0,Profession,Germany,Master's degree,Remote,137136.0
75000.0,14.0,Profession,Austria,Less than Bachelor's degree,Remote,80555.0
175000.0,17.0,Profession,United States of America,Bachelor's degree,Remote,175000.0
39520.0,1.0,Profession,United States of America,Less than Bachelor's degree,In-person,39520.0
53800.0,14.0,Profession,United Kingdom of Great Britain and Northern Ireland,Master's degree,Hybrid,68535.0
120000.0,2.0,Profession,United States of America,Bachelor's degree,In-person,120000.0
90000.0,11.0,Profession,United Kingdom of Great Britain and Northern Ireland,Master's degree,Remote,114649.0
80000.0,12.0,Profession,United States of America,Bachelor's degree,Remote,80000.0
120000.0,20.0,Profession,Poland,Master's degree,Remote,120000.0
26000.0,0.5,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,In-person,33121.0
120000.0,11.0,Profession,Portugal,Master's degree,Hybrid,128887.0
79000.0,27.0,Profession,Finland,Less than Bachelor's degree,Remote,84851.0
120000.0,20.0,Profession,Canada,Master's degree,Remote,87231.0
128000.0,12.0,Profession,Canada,Bachelor's degree,Hybrid,93047.0
